Date,Adj Close,Ticker
2025-03-28,217.9,AAPL
2025-03-27,223.85,AAPL
2025-03-26,221.53,AAPL
2025-03-25,223.75,AAPL
2025-03-24,220.73,AAPL
2025-03-21,218.27,AAPL
2025-03-20,214.1,AAPL
2025-03-19,215.24,AAPL
2025-03-18,212.69,AAPL
2025-03-17,214.0,AAPL
2025-03-14,213.49,AAPL
2025-03-13,209.68,AAPL
2025-03-12,216.98,AAPL
2025-03-11,220.84,AAPL
2025-03-10,227.48,AAPL
2025-03-07,239.07,AAPL
2025-03-06,235.33,AAPL
2025-03-05,235.74,AAPL
2025-03-04,235.93,AAPL
2025-03-03,238.03,AAPL
2025-02-28,241.84,AAPL
2025-02-27,237.3,AAPL
2025-02-26,240.36,AAPL
2025-02-25,247.04,AAPL
2025-02-24,247.1,AAPL
2025-02-21,245.55,AAPL
2025-02-20,245.83,AAPL
2025-02-19,244.87,AAPL
2025-02-18,244.47,AAPL
2025-02-14,244.6,AAPL
2025-02-13,241.53,AAPL
2025-02-12,236.87,AAPL
2025-02-11,232.62,AAPL
2025-02-10,227.65,AAPL
2025-02-07,227.38,AAPL
2025-02-06,232.96,AAPL
2025-02-05,232.21,AAPL
2025-02-04,232.54,AAPL
2025-02-03,227.76,AAPL
2025-01-31,235.74,AAPL
2025-01-30,237.33,AAPL
2025-01-29,239.1,AAPL
2025-01-28,238.0,AAPL
2025-01-27,229.61,AAPL
2025-01-24,222.54,AAPL
2025-01-23,223.41,AAPL
2025-01-22,223.58,AAPL
2025-01-21,222.4,AAPL
2025-01-17,229.73,AAPL
2025-01-16,228.01,AAPL
2025-01-15,237.61,AAPL
2025-01-14,233.02,AAPL
2025-01-13,234.14,AAPL
2025-01-10,236.59,AAPL
2025-01-08,242.43,AAPL
2025-01-07,241.94,AAPL
2025-01-06,244.73,AAPL
2025-01-03,243.09,AAPL
2025-01-02,243.58,AAPL
2024-12-31,250.14,AAPL
2024-12-30,251.92,AAPL
2024-12-27,255.31,AAPL
2024-12-26,258.74,AAPL
2024-12-24,257.92,AAPL
2024-12-23,254.99,AAPL
2024-12-20,254.21,AAPL
2024-12-19,249.52,AAPL
2024-12-18,247.78,AAPL
2024-12-17,253.2,AAPL
2024-12-16,250.76,AAPL
2024-12-13,247.86,AAPL
2024-12-12,247.69,AAPL
2024-12-11,246.22,AAPL
2024-12-10,247.5,AAPL
2024-12-09,246.48,AAPL
2024-12-06,242.57,AAPL
2024-12-05,242.77,AAPL
2024-12-04,242.74,AAPL
2024-12-03,242.38,AAPL
2024-12-02,239.33,AAPL
2024-11-29,237.07,AAPL
2024-11-27,234.67,AAPL
2024-11-26,234.8,AAPL
2024-11-25,232.61,AAPL
2024-11-22,229.62,AAPL
2024-11-21,228.27,AAPL
2024-11-20,228.75,AAPL
2024-11-19,228.03,AAPL
2024-11-18,227.77,AAPL
2024-11-15,224.75,AAPL
2024-11-14,227.97,AAPL
2024-11-13,224.87,AAPL
2024-11-12,223.98,AAPL
2024-11-11,223.98,AAPL
2024-11-08,226.71,AAPL
2024-11-07,226.98,AAPL
2024-11-06,222.23,AAPL
2024-11-05,222.96,AAPL
2024-11-04,221.52,AAPL
2024-11-01,222.42,AAPL
2024-10-31,225.41,AAPL
2024-10-30,229.59,AAPL
2024-10-29,233.16,AAPL
2024-10-28,232.89,AAPL
2024-10-25,230.9,AAPL
2024-10-24,230.06,AAPL
2024-10-23,230.25,AAPL
2024-10-22,235.34,AAPL
2024-10-21,235.96,AAPL
2024-10-18,234.48,AAPL
2024-10-17,231.64,AAPL
2024-10-16,231.27,AAPL
2024-10-15,233.34,AAPL
2024-10-14,230.79,AAPL
2024-10-11,227.05,AAPL
2024-10-10,228.54,AAPL
2024-10-09,229.04,AAPL
2024-10-08,225.27,AAPL
2024-10-07,221.2,AAPL
2024-10-04,226.3,AAPL
2024-10-03,225.17,AAPL
2024-10-02,226.28,AAPL
2024-10-01,225.71,AAPL
2024-09-30,232.49,AAPL
2024-09-27,227.29,AAPL
2024-09-26,227.02,AAPL
2024-09-25,225.87,AAPL
2024-09-24,226.87,AAPL
2024-09-23,225.97,AAPL
2024-09-20,227.7,AAPL
2024-09-19,228.37,AAPL
2024-09-18,220.21,AAPL
2024-09-17,216.31,AAPL
2024-09-16,215.84,AAPL
2024-09-13,222.01,AAPL
2024-09-12,222.28,AAPL
2024-09-11,222.17,AAPL
2024-09-10,219.63,AAPL
2024-09-09,220.42,AAPL
2024-09-06,220.34,AAPL
2024-09-05,221.89,AAPL
2024-09-04,220.37,AAPL
2024-09-03,222.28,AAPL
2024-08-30,228.5,AAPL
2024-08-29,229.29,AAPL
2024-08-28,225.99,AAPL
2024-08-27,227.53,AAPL
2024-08-26,226.68,AAPL
2024-08-23,226.34,AAPL
2024-08-22,224.04,AAPL
2024-08-21,225.9,AAPL
2024-08-20,226.01,AAPL
2024-08-19,225.39,AAPL
2024-08-16,225.55,AAPL
2024-08-15,224.23,AAPL
2024-08-14,221.23,AAPL
2024-08-13,220.78,AAPL
2024-08-12,217.05,AAPL
2024-08-09,215.52,AAPL
2024-08-08,212.6,AAPL
2024-08-07,209.12,AAPL
2024-08-06,206.54,AAPL
2024-08-05,208.57,AAPL
2024-08-02,219.12,AAPL
2024-08-01,217.63,AAPL
2024-07-31,221.34,AAPL
2024-07-30,218.07,AAPL
2024-07-29,217.51,AAPL
2024-07-26,217.23,AAPL
2024-07-25,216.76,AAPL
2024-07-24,217.81,AAPL
2024-07-23,224.26,AAPL
2024-07-22,223.21,AAPL
2024-07-19,223.56,AAPL
2024-07-18,223.43,AAPL
2024-07-17,228.11,AAPL
2024-07-16,234.03,AAPL
2024-07-15,233.61,AAPL
2024-07-12,229.77,AAPL
2024-07-11,226.81,AAPL
2024-07-10,232.2,AAPL
2024-07-09,227.91,AAPL
2024-07-08,227.06,AAPL
2024-07-05,225.58,AAPL
2024-07-03,220.81,AAPL
2024-07-02,219.53,AAPL
2024-07-01,216.02,AAPL
2024-06-28,209.91,AAPL
2024-06-27,213.38,AAPL
2024-06-26,212.54,AAPL
2024-06-25,208.37,AAPL
2024-06-24,207.44,AAPL
2024-06-21,206.79,AAPL
2024-06-20,208.98,AAPL
2024-06-18,213.57,AAPL
2024-06-17,215.94,AAPL
2024-06-14,211.78,AAPL
2024-06-13,213.52,AAPL
2024-06-12,212.36,AAPL
2024-06-11,206.46,AAPL
2024-06-10,192.47,AAPL
2024-06-07,196.23,AAPL
2024-06-06,193.83,AAPL
2024-06-05,195.21,AAPL
2024-06-04,193.7,AAPL
2024-06-03,193.38,AAPL
2024-05-31,191.61,AAPL
2024-05-30,190.65,AAPL
2024-05-29,189.65,AAPL
2024-05-28,189.35,AAPL
2024-05-24,189.34,AAPL
2024-05-23,186.25,AAPL
2024-05-22,190.26,AAPL
2024-05-21,191.71,AAPL
2024-05-20,190.4,AAPL
2024-05-17,189.23,AAPL
2024-05-16,189.2,AAPL
2024-05-15,189.08,AAPL
2024-05-14,186.8,AAPL
2024-05-13,185.66,AAPL
2024-05-10,182.44,AAPL
2024-05-09,183.7,AAPL
2024-05-08,181.88,AAPL
2024-05-07,181.54,AAPL
2024-05-06,180.86,AAPL
2024-05-03,182.52,AAPL
2024-05-02,172.22,AAPL
2024-05-01,168.5,AAPL
2024-04-30,169.53,AAPL
2024-04-29,172.68,AAPL
2024-04-26,168.5,AAPL
2024-04-25,169.09,AAPL
2024-04-24,168.23,AAPL
2024-04-23,166.12,AAPL
2024-04-22,165.06,AAPL
2024-04-19,164.22,AAPL
2024-04-18,166.25,AAPL
2024-04-17,167.21,AAPL
2024-04-16,168.58,AAPL
2024-04-15,171.88,AAPL
2024-04-12,175.72,AAPL
2024-04-11,174.22,AAPL
2024-04-10,166.99,AAPL
2024-04-09,168.87,AAPL
2024-04-08,167.66,AAPL
2024-04-05,168.78,AAPL
2024-04-04,168.03,AAPL
2024-04-03,168.85,AAPL
2024-04-02,168.05,AAPL
2024-04-01,169.23,AAPL
2024-03-28,170.67,AAPL
2024-03-27,172.5,AAPL
2024-03-26,168.91,AAPL
2024-03-25,170.05,AAPL
2024-03-22,171.47,AAPL
2024-03-21,170.56,AAPL
2024-03-20,177.83,AAPL
2024-03-19,175.25,AAPL
2024-03-18,172.9,AAPL
2024-03-15,171.81,AAPL
2024-03-14,172.19,AAPL
2024-03-13,170.33,AAPL
2024-03-12,172.42,AAPL
2024-03-11,171.94,AAPL
2024-03-08,169.93,AAPL
2024-03-07,168.21,AAPL
2024-03-06,168.33,AAPL
2024-03-05,169.32,AAPL
2024-03-04,174.28,AAPL
2024-03-01,178.82,AAPL
2024-02-29,179.9,AAPL
2024-02-28,180.57,AAPL
2024-02-27,181.77,AAPL
2024-02-26,180.31,AAPL
2024-02-23,181.66,AAPL
2024-02-22,183.5,AAPL
2024-02-21,181.46,AAPL
2024-02-20,180.71,AAPL
2024-02-16,181.45,AAPL
2024-02-15,183.0,AAPL
2024-02-14,183.28,AAPL
2024-02-13,184.17,AAPL
2024-02-12,186.27,AAPL
2024-02-09,187.96,AAPL
2024-02-08,187.2,AAPL
2024-02-07,188.28,AAPL
2024-02-06,188.17,AAPL
2024-02-05,186.56,AAPL
2024-02-02,184.74,AAPL
2024-02-01,185.74,AAPL
2024-01-31,183.3,AAPL
2024-01-30,186.92,AAPL
2024-01-29,190.59,AAPL
2024-01-26,191.27,AAPL
2024-01-25,193.01,AAPL
2024-01-24,193.34,AAPL
2024-01-23,194.02,AAPL
2024-01-22,192.73,AAPL
2024-01-19,190.42,AAPL
2024-01-18,187.5,AAPL
2024-01-17,181.59,AAPL
2024-01-16,182.53,AAPL
2024-01-12,184.81,AAPL
2024-01-11,184.48,AAPL
2024-01-10,185.08,AAPL
2024-01-09,184.04,AAPL
2024-01-08,184.45,AAPL
2024-01-05,180.1,AAPL
2024-01-04,180.82,AAPL
2024-01-03,183.15,AAPL
2024-01-02,184.53,AAPL
2023-12-29,191.38,AAPL
2023-12-28,192.42,AAPL
2023-12-27,192.0,AAPL
2023-12-26,191.9,AAPL
2023-12-22,192.44,AAPL
2023-12-21,193.52,AAPL
2023-12-20,193.67,AAPL
2023-12-19,195.76,AAPL
2023-12-18,194.72,AAPL
2023-12-15,196.39,AAPL
2023-12-14,196.93,AAPL
2023-12-13,196.78,AAPL
2023-12-12,193.55,AAPL
2023-12-11,192.03,AAPL
2023-12-08,194.54,AAPL
2023-12-07,193.11,AAPL
2023-12-06,191.17,AAPL
2023-12-05,192.27,AAPL
2023-12-04,188.3,AAPL
2023-12-01,190.1,AAPL
2023-11-30,188.82,AAPL
2023-11-29,188.24,AAPL
2023-11-28,189.26,AAPL
2023-11-27,188.66,AAPL
2023-11-24,188.84,AAPL
2023-11-22,190.17,AAPL
2023-11-21,189.5,AAPL
2023-11-20,190.31,AAPL
2023-11-17,188.56,AAPL
2023-11-16,188.58,AAPL
2023-11-15,186.89,AAPL
2023-11-14,186.32,AAPL
2023-11-13,183.7,AAPL
2023-11-10,185.29,AAPL
2023-11-09,181.08,AAPL
2023-11-08,181.56,AAPL
2023-11-07,180.5,AAPL
2023-11-06,177.93,AAPL
2023-11-03,175.36,AAPL
2023-11-02,176.28,AAPL
2023-11-01,172.7,AAPL
2023-10-31,169.53,AAPL
2023-10-30,169.05,AAPL
2023-10-27,167.0,AAPL
2023-10-26,165.68,AAPL
2023-10-25,169.86,AAPL
2023-10-24,172.18,AAPL
2023-10-23,171.74,AAPL
2023-10-20,171.62,AAPL
2023-10-19,174.18,AAPL
2023-10-18,174.56,AAPL
2023-10-17,175.86,AAPL
2023-10-16,177.42,AAPL
2023-10-13,177.55,AAPL
2023-10-12,179.4,AAPL
2023-10-11,178.49,AAPL
2023-10-10,177.09,AAPL
2023-10-09,177.69,AAPL
2023-10-06,176.2,AAPL
2023-10-05,173.64,AAPL
2023-10-04,172.4,AAPL
2023-10-03,171.15,AAPL
2023-10-02,172.49,AAPL
2023-09-29,169.96,AAPL
2023-09-28,169.45,AAPL
2023-09-27,169.19,AAPL
2023-09-26,170.71,AAPL
2023-09-25,174.8,AAPL
2023-09-22,173.52,AAPL
2023-09-21,172.66,AAPL
2023-09-20,174.21,AAPL
2023-09-19,177.77,AAPL
2023-09-18,176.68,AAPL
2023-09-15,173.74,AAPL
2023-09-14,174.46,AAPL
2023-09-13,172.94,AAPL
2023-09-12,175.02,AAPL
2023-09-11,178.05,AAPL
